"Formatted ID","Name","Owner","Last Update Date","Creation Date","Flow State","Iteration"
"US161830","[Historical Data Load CERT] - Load 2 years of historical data for AS400- OnPrem Only","Vivek K","06/07/2019 10:50 AM EDT","03/05/2019 06:26 AM EST","Accepted","D&A - ETL - Release 2 Sprint 8"
"US161831","[Historical Data Load CERT] - Load 2 years of historical data for CZR table- OnPrem Only","Vivek K","06/07/2019 10:54 AM EDT","03/05/2019 06:59 AM EST","Accepted","D&A - ETL - Release 3 Sprint 09"
"US161832","[Historical Data Load CERT] - Load 2 years of historical data for ATM settlement and ATM transaction file- OnPrem Only","Vivek K","06/07/2019 10:54 AM EDT","03/05/2019 07:39 AM EST","Accepted","D&A - ETL - Release 3 Sprint 09"
"US161850","[Historical Data Load CERT] - Load 2 years of historical data for Kiosk tables- OnPrim Only","Vivek K","06/07/2019 10:55 AM EDT","03/05/2019 10:37 AM EST","Accepted","D&A - ETL - Release 3 Sprint 10"
"US163369","[Historical Data Load CERT] - Load 2 years of historical data for ATM settlement and ATM transaction file- Cloud Only","Vivek K","06/07/2019 11:11 AM EDT","03/22/2019 02:23 PM EDT","Accepted","D&A - ETL - Release 3 Sprint 11"
"US163371","[Historical Data Load CERT] - Load 2 years of historical data for CZR table- Cloud Only","Vivek K","06/13/2019 03:29 AM EDT","03/22/2019 02:25 PM EDT","Completed","D&A - ETL - Release 3 Sprint 11"
"US163419","[Historical Data Load CERT] - Load 2 years of historical data for Kiosk tables- Cloud Only","Vivek K","06/07/2019 11:11 AM EDT","03/25/2019 10:01 AM EDT","Accepted","D&A - ETL - Release 3 Sprint 11"
"US165021","[Historical Data Load CERT] - Load 2 years of historical data for rpt_kiosk_data BQ CL layer","Vivek K","06/07/2019 11:11 AM EDT","04/15/2019 10:33 AM EDT","Accepted","D&A - ETL - Release 3 Sprint 11"
"US163368","[Historical Data Load CERT] - Load 2 years of historical data for AS400- Cloud Only","Vivek K","06/07/2019 07:52 AM EDT","03/22/2019 02:19 PM EDT","Completed","D&A - ETL - Release 3 Sprint 12"
"US165020","[Historical Data Load CERT] - Load 2 years of historical data for rpt_kiosk_transaction_detail Cloud SQL CL layer","Vivek K","06/17/2019 10:06 AM EDT","04/15/2019 10:32 AM EDT","In-Progress","D&A - ETL - Release 4 Sprint 13"
